guest_id,spa_affinity_score,adventure_affinity_score,culture_affinity_score,dining_affinity_score,travel_type,budget_segment,stay_duration_days,weather_condition,rain_probability,event_category,event_popularity_score,event_indoor_flag,attraction_rating,seasonal_tourism_index,weather_activity_match,event_preference_alignment,overall_experience_score,recommended_experience,temperature
1,0.16,0.85,0.87,1.0,Business,Luxury,8,Cloudy,63,Food Carnival,50,1,3.7,5,0.84,0.81,39,Adventure Trek,13.0
2,0.57,0.41,0.59,0.0,Business,Mid-range,9,Snowy,97,Wellness Expo,61,1,3.9,21,0.74,0.84,82,Indoor Wellness Retreat,22.0
3,0.27,0.05,0.04,0.0,Business,Luxury,3,Rainy,26,Cultural Fair,95,0,4.8,20,0.2,0.97,55,Adventure Trek,16.0
4,0.53,0.42,0.4,1.0,Family,Budget,3,Sunny,45,Sports Event,24,1,3.5,85,0.96,0.07,13,City Tour,39.0
5,0.47,0.14,0.99,1.0,Couple,Luxury,2,Rainy,81,Food Carnival,61,1,3.7,13,0.16,0.56,55,Cultural Museum Visit,14.0
6,0.5,0.22,0.3,0.0,Solo,Luxury,12,Rainy,99,Sports Event,3,1,3.9,29,0.55,0.43,46,City Tour,35.0
7,0.64,0.75,0.19,0.0,Couple,Luxury,12,Sunny,36,Wellness Expo,39,0,3.7,61,0.25,0.82,3,Food Experience,29.0
8,0.67,0.83,0.6,0.0,Business,Mid-range,11,Snowy,74,Wellness Expo,30,1,3.9,46,0.3,0.82,32,Indoor Wellness Retreat,19.0
9,0.6,0.7,0.84,0.0,Couple,Budget,3,Snowy,21,Sports Event,48,1,4.2,68,0.57,0.54,49,Food Experience,29.0
10,0.19,0.91,0.04,0.0,Business,Luxury,13,Cloudy,65,Food Carnival,13,0,4.7,83,0.64,0.4,74,Adventure Trek,21.0
11,0.75,0.55,0.78,1.0,Couple,Mid-range,10,Rainy,5,Sports Event,53,0,4.9,92,0.68,0.85,54,Cultural Museum Visit,39.0
12,0.17,0.86,0.73,1.0,Couple,Luxury,11,Sunny,28,Sports Event,71,1,4.9,52,0.47,0.4,56,Indoor Wellness Retreat,32.0
13,0.85,0.97,0.28,1.0,Business,Mid-range,9,Sunny,78,Music Festival,24,1,3.8,41,0.05,0.28,85,Cultural Museum Visit,16.0
14,0.15,0.27,0.69,0.0,Business,Budget,10,Cloudy,94,Music Festival,64,0,4.9,63,0.44,0.72,73,Food Experience,18.0
15,0.76,0.68,0.06,0.0,Solo,Budget,1,Snowy,88,Food Carnival,97,1,4.8,27,0.59,0.9,76,Food Experience,26.0
16,0.12,0.24,0.44,0.0,Solo,Luxury,3,Rainy,50,Food Carnival,38,1,3.7,82,0.36,0.01,73,Spa Package,21.0
17,0.76,0.57,0.11,0.0,Business,Mid-range,9,Sunny,96,Cultural Fair,64,1,4.6,80,0.39,0.95,5,City Tour,31.0
18,0.37,0.88,0.46,1.0,Business,Budget,8,Cloudy,5,Music Festival,91,0,3.9,83,0.97,0.13,58,Food Experience,10.0
19,0.93,0.85,0.6,1.0,Family,Budget,12,Snowy,50,Music Festival,72,1,4.8,96,0.92,0.36,88,Adventure Trek,25.0
20,0.04,0.69,0.68,0.0,Couple,Mid-range,2,Snowy,6,Wellness Expo,89,0,3.8,68,0.37,0.5,57,Cultural Museum Visit,16.0
21,0.14,0.36,0.9,0.0,Business,Luxury,1,Cloudy,48,Music Festival,79,1,4.8,91,0.69,0.28,96,Cultural Museum Visit,14.0
